dff,demixed,raw,neuropil_corrected,events,plane,col,volume,roi
[0.92042553 0.67915595 0.7849751  ... 0.3086833  0.06408405 0.3201736 ],[545.0564  500.79324 572.3496  ... 456.7857  423.0113  455.79324],[545.0564  500.79324 572.3496  ... 456.7857  423.0113  455.79324],[307.59763 276.46222 302.3736  ... 268.3357  226.84198 250.86626],[0. 0. 0. ... 0. 0. 0.],0,2,5,10
"[ 0.8841207   1.3372883   1.0338743  ... -0.22080266  0.8700027
  1.1156518 ]",[553.4424  657.57996 643.9777  ... 379.39032 552.39777 510.72864],[553.4424  657.57996 643.9777  ... 379.39032 552.39777 510.72864],[333.00882 421.23062 372.64114 ... 183.88335 366.262   320.8849 ],[0.         0.         0.10600083 ... 0.         0.12293833 0.        ],0,2,5,11
"[ 0.72231704  0.36977935  0.7664102  ... -0.10523433  0.7244157
  0.8092943 ]",[490.68854 440.94028 531.4808  ... 353.5326  445.98407 426.68823],[499.31476 456.3377  547.3803  ... 358.91147 462.859   437.36722],[291.61255 245.7629  309.94626 ... 178.09343 280.6452  267.8221 ],[0.         0.         0.         ... 0.12978442 0.         0.        ],0,2,5,12
"[ 0.24625562  0.82463247  1.2894036  ... -0.06011165  0.61572903
  0.44734082]",[314.5026  380.26245 461.7285  ... 266.08585 357.4149  324.77008],[391.748 467.676 559.908 ... 345.188 428.244 398.74 ],[217.32193 298.7762  366.63687 ... 184.11522 273.69244 241.22414],[0.         0.18391441 0.         ... 0.         0.04725913 0.        ],0,2,5,13
[0.6599941  0.10631374 0.7257832  ... 0.08405732 0.15385804 0.4787822 ],[410.99448 352.325   464.37454 ... 337.30945 331.4915  366.4146 ],[422.39914 372.9399  485.50214 ... 344.39056 354.23605 380.5794 ],[248.6498  185.95396 291.89438 ... 186.78366 189.2904  224.58572],[0.         0.06260397 0.         ... 0.         0.04641899 0.        ],0,2,5,14
[0.52745026 0.34901732 0.7136568  ... 0.11280319 0.3730243  0.31321234],[365.30832 356.68152 429.2159  ... 310.96085 346.1071  323.1334 ],[402.81967 385.93854 462.0082  ... 339.14755 368.4754  348.36475],[239.97267 221.15335 283.85828 ... 183.88896 219.85754 207.98439],[0.         0.06017222 0.         ... 0.05251171 0.         0.        ],0,2,5,15
[1.4261479  1.3342811  1.1536119  ... 0.4480725  0.43043044 0.82896864],[574.1524  559.86346 575.49207 ... 460.8381  455.02222 485.94922],[574.1524  559.86346 575.49207 ... 460.8381  455.02222 485.94922],[339.49954 331.99323 318.22244 ... 245.82358 238.12833 270.4282 ],[0.         0.         0.09463026 ... 0.         0.06495123 0.        ],0,2,5,16
[0.7257131  0.18730731 0.61017084 ... 1.3035942  2.9357858  3.4294882 ],[438.4007  397.0734  493.67975 ... 572.31805 743.0917  726.4021 ],[440.64774 397.75378 494.48865 ... 574.1894  743.8295  728.82196],[176.59338 150.754   217.40349 ... 301.50348 482.4069  493.76825],[0.         0.         0.         ... 0.         0.28854817 0.        ],0,2,5,17
[0.49743846 1.0815598  1.7595053  ... 0.1162034  0.8345954  0.43069145],[439.70255 513.47644 632.6735  ... 336.77347 429.07785 374.36295],[456.88663 546.0283  675.43726 ... 360.68018 457.82996 391.17813],[283.2024  376.63727 487.56122 ... 208.33858 320.71143 242.50623],[0.0990752  0.10933515 0.09860365 ... 0.09040758 0.         0.        ],0,2,5,18
[0.58911216 0.35986722 0.5171527  ... 0.42571443 0.7331583  0.8080935 ],[398.6433  378.9315  405.73926 ... 360.24893 400.9747  367.47302],[454.93414 424.63474 466.31137 ... 408.97006 454.38324 409.82037],[268.30133 243.67786 268.33206 ... 254.54288 296.91116 263.55267],[0.         0.         0.0953445  ... 0.         0.05770265 0.        ],0,2,5,19
"[ 0.6111589  -0.04833415  0.26548612 ...  0.29752654  0.5972739
  0.9857282 ]",[415.89203 333.94376 412.9248  ... 359.86896 396.87082 393.78268],[430.92267 352.2165  437.30927 ... 378.21133 412.5464  422.68042],[255.01123 180.85509 226.45288 ... 212.32838 247.41933 257.97363],[0.         0.         0.05009792 ... 0.0778714  0.08174244 0.        ],0,2,5,20
[1.9714118  1.2943219  2.3264017  ... 0.03389881 0.09140406 0.07291073],[493.10144 455.66788 628.58215 ... 289.69684 287.37048 289.22998],[599.7012  551.16095 739.4655  ... 333.00574 332.62643 329.8161 ],[462.30945 409.4547  583.14825 ... 209.74098 212.1249  204.75366],[0.         0.1571547  0.16537982 ... 0.         0.         0.        ],0,2,5,21
[0.8863008 0.8290914 1.246527  ... 0.1245308 0.6301038 1.2643094],[411.11578 422.8052  488.24448 ... 337.97202 394.3508  427.32416],[431.83093 436.46762 504.71942 ... 349.80576 402.27698 439.70145],[225.10307 226.91309 286.5053  ... 168.15662 226.56152 264.27097],[0.         0.         0.15106553 ... 0.         0.15387647 0.        ],0,2,5,22
[1.3062018  0.45093912 0.6835162  ... 0.4571556  1.5637579  1.9708158 ],[371.063   349.75388 404.89908 ... 315.9317  517.6622  546.4058 ],[472.79913 450.9083  512.30133 ... 436.46725 609.9476  650.37115],[289.12616 263.3531  299.57294 ... 274.45294 444.1357  483.3478 ],[0.         0.         0.10072804 ... 0.         0.15979518 0.        ],0,2,5,23
"[ 0.9151595   0.5233667   1.6844183  ... -0.05816496  0.97201055
  1.5485159 ]",[500.4     447.48666 653.78    ... 378.08667 517.32666 570.18665],[500.4     447.48666 653.78    ... 378.08667 517.32666 570.18665],[311.24258 267.44083 435.98523 ... 197.22491 355.29395 410.51816],[0.         0.17605704 0.15648818 ... 0.         0.1566126  0.        ],0,2,5,24
[0.73113066 0.631616   0.80771595 ... 0.06050777 0.29313892 0.49484476],[410.19983 397.5277  439.79807 ... 309.70792 321.28134 325.06177],[426.01352 410.27478 450.18018 ... 326.982   331.31082 334.2117 ],[247.37186 238.24841 260.31412 ... 168.27348 185.94327 179.55037],[0.         0.         0.         ... 0.         0.05870521 0.        ],0,2,5,25
[0.32362238 0.09569579 0.5524525  ... 0.25570288 0.65132433 0.66897047],[344.82837 317.88434 386.5485  ... 299.23508 346.10822 329.40298],[344.82837 317.88434 386.5485  ... 299.23508 346.10822 329.40298],[153.0776  131.42886 178.83734 ... 141.11263 178.33727 162.6081 ],[0.         0.         0.         ... 0.09420069 0.         0.        ],0,2,5,26
[0.29796535 0.47932488 0.31818366 ... 0.5077993  1.5762457  1.2100286 ],[382.32632 405.2363  425.78943 ... 409.76898 547.44977 474.459  ],[404.84305 420.15247 438.38565 ... 433.41257 565.3498  501.4529 ],[217.0449  243.48663 226.51534 ... 258.63693 405.002   338.00754],[0.         0.         0.10905419 ... 0.05167961 0.         0.        ],0,2,5,27
[2.0047183 1.441129  1.3289062 ... 1.0604471 1.6562207 1.7001889],[604.9831  556.94916 559.838   ... 549.193   600.82025 576.1211 ],[618.0304 572.7973 576.3446 ... 559.2736 613.625  593.2432],[394.30728 336.8947  325.3642  ... 331.712   409.2411  408.2006 ],[0.         0.         0.23225315 ... 0.         0.12286123 0.        ],0,2,5,28
[0.5210335  0.57604223 1.2400713  ... 0.2561455  0.21396822 0.16089377],[441.94  450.756 568.644 ... 387.468 374.32  334.028],[441.94  450.756 568.644 ... 387.468 374.32  334.028],[297.07507 309.94885 422.20877 ... 267.90958 253.9021  220.77458],[0.         0.09273037 0.         ... 0.03573274 0.         0.        ],0,2,5,29
[1.3373874  0.5627978  1.0821352  ... 0.14043513 0.16086808 0.890236  ],[547.21063 469.6877  589.0615  ... 377.35135 357.5366  417.77756],[558.87067 499.4181  608.5819  ... 389.9957  366.21982 428.1207 ],[301.52975 247.3521  315.1505  ... 185.33754 169.38614 231.21545],[0.         0.         0.06007844 ... 0.         0.12392021 0.        ],0,2,5,30
"[ 0.53170794  0.40963387  0.6143893  ... -0.08896029  0.24270073
  0.3009588 ]",[398.24655 394.14404 438.09875 ... 322.9053  366.77295 349.70236],[406.      400.9194  442.30768 ... 325.652   369.71796 357.79486],[217.20251 206.80171 233.01982 ... 160.49747 194.52489 194.51146],[0.         0.         0.08217175 ... 0.         0.         0.        ],0,2,5,31
